category_id,month,dayparting_name,weekday,desc_row,num_tags,title_upper,title_length,popularity
17,August,12pm - 6pm,Sunday,749,28,4,87,Very Popular
2,August,12pm - 6pm,Sunday,509,29,7,47,Popular
17,August,6pm - 12am,Saturday,636,18,8,96,Popular
22,August,6am - 12pm,Sunday,1816,8,0,24,Popular
24,August,12am - 6am,Monday,860,1,31,81,Popular
24,August,12am - 6am,Monday,807,20,31,68,Popular
24,August,6pm - 12am,Saturday,702,1,25,28,Highly Popular
23,August,6am - 12pm,Tuesday,1314,32,7,43,Very Popular
24,August,6am - 12pm,Sunday,437,45,15,34,Hyper Popular
10,August,6pm - 12am,Thursday,696,1,8,24,Highly Popular
24,August,6am - 12pm,Monday,592,24,6,30,Hyper Popular
17,August,6am - 12pm,Saturday,488,7,4,42,Popular
17,August,6am - 12pm,Saturday,3064,16,68,96,Popular
2,August,12pm - 6pm,Sunday,962,15,2,33,Highly Popular
24,August,12pm - 6pm,Saturday,975,30,15,69,Very Popular
25,August,6am - 12pm,Saturday,3163,1,13,96,Popular
23,August,6am - 12pm,Sunday,435,10,15,49,Popular
17,August,6pm - 12am,Sunday,1080,29,11,96,Popular
20,August,6am - 12pm,Monday,1176,28,3,59,Popular
24,August,6pm - 12am,Friday,1042,12,34,41,Highly Popular
20,August,12pm - 6pm,Thursday,547,1,6,33,Hyper Popular
26,August,12am - 6am,Sunday,1704,31,10,16,Very Popular
23,August,12pm - 6pm,Saturday,308,1,5,46,Popular
17,August,12am - 6am,Sunday,1439,6,14,87,Popular
10,August,12pm - 6pm,Saturday,919,17,24,67,Very Popular
24,August,6pm - 12am,Saturday,663,1,5,37,Popular
23,August,12am - 6am,Saturday,187,1,2,41,Hyper Popular
10,August,12pm - 6pm,Saturday,2294,29,13,77,Very Popular
22,August,12pm - 6pm,Saturday,1251,15,7,36,Hyper Popular
24,August,6pm - 12am,Thursday,512,1,5,25,Hyper Popular
10,August,12am - 6am,Friday,3377,8,10,63,Hyper Popular
22,August,12pm - 6pm,Thursday,559,9,18,43,Hyper Popular
20,August,12pm - 6pm,Thursday,671,20,8,38,Highly Popular
17,August,6am - 12pm,Friday,3488,38,4,35,Popular
10,August,6pm - 12am,Thursday,654,8,3,24,Popular
20,August,6pm - 12am,Thursday,250,13,5,40,Hyper Popular
10,August,12am - 6am,Friday,909,20,6,43,Hyper Popular
24,August,12pm - 6pm,Thursday,1513,23,12,91,Hyper Popular
1,August,6pm - 12am,Thursday,1265,25,15,56,Hyper Popular
24,August,12pm - 6pm,Thursday,1303,6,4,25,Highly Popular
10,August,12am - 6am,Friday,690,1,4,19,Hyper Popular
17,August,6am - 12pm,Friday,429,34,7,57,Popular
10,August,6pm - 12am,Thursday,603,23,6,39,Hyper Popular
24,August,6pm - 12am,Thursday,639,1,4,25,Popular
10,August,12pm - 6pm,Thursday,625,32,6,39,Highly Popular
10,August,6pm - 12am,Thursday,2784,19,12,76,Popular
17,August,6pm - 12am,Thursday,482,11,11,70,Very Popular
10,August,6pm - 12am,Thursday,623,26,8,58,Highly Popular
26,August,6am - 12pm,Thursday,257,12,25,35,Popular
10,August,6am - 12pm,Friday,2879,49,17,41,Highly Popular
17,August,6pm - 12am,Wednesday,983,26,10,98,Popular
